polling.place	EV	age.group	educ	male	tech	pol.info	white.collar	not.full.time	capable.auth	eval.voting	easy.voting	sure.counted	conf.secret	how.clean	speed	agree.evoting	eselect.cand
"Escuela Prov. de Buenos Aires"	0.0	1.0	7.0	1.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0
"Escuela Prov. de Buenos Aires"	0.0	2.0	3.0	1.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0
"Escuela Prov. de Buenos Aires"	0.0	4.0	2.0	0.0	3.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	3.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	3.0	0.0	4.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	4.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	4.0	2.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0			1.0	0.0	
"Escuela Dr. Arturo O??ativia"	0.0	4.0	2.0	0.0	2.0	1.0	0.0	1.0	0.0		0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	2.0	4.0	0.0	6.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	5.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	
"Escuela Dr. Arturo O??ativia"	0.0	2.0	9.0	1.0	6.0	3.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	4.0	3.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	4.0	1.0	5.0	2.0	0.0	0.0	0.0		0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	4.0	1.0	5.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	7.0	0.0	6.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	2.0	6.0	0.0	4.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0		1.0	1.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	4.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0		0.0		1.0		1.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	3.0	0.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	7.0	1.0	6.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	3.0	2.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	2.0	2.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	5.0	4.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	3.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	4.0	1.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	5.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	4.0	1.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	4.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	4.0	1.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	5.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	2.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0		0.0	0.0	1.0	0.0	1.0	0.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	4.0	1.0	3.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	3.0	3.0	1.0	4.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	3.0	6.0	0.0	6.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
"Escuela Dr. Arturo O??ativia"	0.0	3.0	6.0	1.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	
"Escuela Dr. Arturo O??ativia"	0.0	3.0	1.0	1.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	3.0	2.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	2.0	1.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0		0.0	1.0	0.0	1.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	4.0	3.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	4.0	3.0	1.0	3.0	1.0	0.0	0.0		0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	3.0	4.0	0.0	6.0	3.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	3.0	4.0	0.0	5.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	3.0	1.0	3.0	4.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	2.0	4.0	0.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"Escuela Dr. Arturo O??ativia"	0.0	1.0	9.0	1.0	6.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	5.0	4.0	1.0	2.0	3.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0		1.0	0.0	0.0
"Colegio Jos?? Manuel Estrada"	0.0	3.0	9.0	1.0	6.0	3.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	3.0	9.0	0.0	5.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	3.0	1.0	4.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	5.0	9.0	0.0	5.0	3.0	0.0	1.0		0.0	0.0	0.0	1.0		1.0		1.0
"Colegio Jos?? Manuel Estrada"	0.0	3.0	4.0	1.0	3.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0
"Colegio Jos?? Manuel Estrada"	0.0	5.0	3.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	
"Colegio Jos?? Manuel Estrada"	0.0	3.0	6.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	9.0	0.0	6.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0		1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	7.0	1.0	6.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	2.0	6.0	0.0	6.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	4.0	2.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	7.0	1.0	6.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	3.0	9.0	0.0	6.0	4.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	3.0	4.0	1.0	6.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	5.0	3.0	1.0	3.0	2.0	0.0	1.0	1.0		0.0		1.0		1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	7.0	1.0	4.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0		1.0
"Colegio Jos?? Manuel Estrada"	0.0	4.0	9.0	0.0	6.0	4.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	7.0	0.0	5.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	4.0	1.0	6.0	2.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	5.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	6.0	1.0	5.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	4.0	7.0	1.0	5.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	4.0	4.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0		1.0	1.0	0.0
"Colegio Jos?? Manuel Estrada"	0.0	2.0	6.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0	0.0		1.0	0.0	1.0		
"Colegio Jos?? Manuel Estrada"	0.0	1.0	9.0	1.0	6.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	4.0	1.0	4.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
"Colegio Jos?? Manuel Estrada"	0.0	4.0	6.0	0.0	4.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0		0.0
"Colegio Jos?? Manuel Estrada"	0.0	3.0	7.0	0.0	2.0	3.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0		1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	7.0	0.0	5.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0		1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	9.0	0.0	6.0	3.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0		1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	4.0	0.0	5.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	2.0	7.0	1.0	6.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	2.0	7.0	1.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	4.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	5.0	4.0	1.0	4.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	
"Colegio Jos?? Manuel Estrada"	0.0	1.0	4.0	0.0	6.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	2.0	2.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	7.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	3.0	9.0	1.0	6.0	3.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0		1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	7.0	0.0	5.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0		1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	9.0	0.0	6.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	1.0	0.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"Colegio Jos?? Manuel Estrada"	0.0	1.0	9.0	0.0	6.0	3.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	3.0	6.0	0.0	5.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	2.0	7.0	1.0	6.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	3.0	9.0	1.0	5.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0		1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	5.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"Escuela Rep. Argentina"	0.0	5.0	1.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0
"Escuela Rep. Argentina"	0.0	5.0	7.0	0.0	5.0	2.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	1.0	7.0	0.0	5.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	4.0	3.0	1.0	3.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0		1.0	0.0	
"Escuela Rep. Argentina"	0.0	4.0	3.0	0.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0		1.0		1.0	0.0	0.0
"Escuela Rep. Argentina"	0.0	1.0	4.0	0.0	5.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0		1.0	1.0	
"Escuela Rep. Argentina"	0.0	1.0	5.0	0.0	6.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0
"Escuela Rep. Argentina"	0.0	2.0	4.0	0.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
"Escuela Rep. Argentina"	0.0	1.0	4.0	1.0	6.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	3.0	6.0	0.0	4.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"Escuela Rep. Argentina"	0.0	4.0	4.0	1.0	2.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0		1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	5.0	4.0	1.0	4.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0		1.0	1.0	0.0
"Escuela Rep. Argentina"	0.0	1.0	7.0	1.0	5.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	1.0	5.0	1.0	5.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	3.0	5.0	0.0	5.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
"Escuela Rep. Argentina"	0.0	2.0	7.0	1.0	5.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0		1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	4.0	2.0	1.0	4.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0		1.0	1.0	
"Escuela Rep. Argentina"	0.0	5.0	4.0	1.0	2.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	1.0	5.0	1.0	5.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	2.0	5.0	0.0	6.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0
"Escuela Rep. Argentina"	0.0	2.0	3.0	0.0	3.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0		1.0	0.0	0.0
"Escuela Rep. Argentina"	0.0	1.0	7.0	1.0	6.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	1.0	7.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
"Escuela Rep. Argentina"	0.0	2.0	7.0	1.0	4.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0		0.0
"Escuela Rep. Argentina"	0.0	2.0	4.0	0.0	3.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
"Escuela Rep. Argentina"	0.0	3.0	6.0	0.0	4.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"Escuela Rep. Argentina"	0.0	1.0	4.0	0.0	5.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	2.0	5.0	0.0	5.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
"Escuela Rep. Argentina"	0.0	4.0	7.0	0.0	6.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	2.0	2.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0		0.0		0.0
"Escuela Rep. Argentina"	0.0	1.0	4.0	1.0	5.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	2.0	6.0	1.0	6.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0		0.0	1.0	1.0
"Escuela Rep. Argentina"	0.0	3.0	3.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0		1.0		1.0
"Escuela Rep. Argentina"	0.0	1.0	2.0	1.0	4.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0
"Escuela Rep. Argentina"	0.0	2.0	5.0	0.0	6.0	3.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0		1.0		1.0
"Escuela Rep. Argentina"	0.0	3.0	9.0	1.0	5.0	2.0	1.0	0.0	1.0	0.0	0.0		1.0	0.0	1.0	0.0	0.0
"Escuela Rep. Argentina"	0.0	1.0	7.0	0.0	5.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0		0.0
"Escuela Rep. Argentina"	0.0	3.0	7.0	1.0	4.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	4.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0		1.0	1.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	2.0	7.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	4.0	9.0	1.0	2.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0		0.0
"Escuela Juan Azurduy de Padilla"	0.0	2.0	9.0	0.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	1.0	3.0	0.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0
"Escuela Juan Azurduy de Padilla"	0.0	3.0	4.0	1.0	6.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	
"Escuela Juan Azurduy de Padilla"	0.0	3.0	9.0	0.0	6.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Escuela Juan Azurduy de Padilla"	0.0	5.0	4.0	1.0	4.0	3.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Escuela Juan Azurduy de Padilla"	0.0	2.0	3.0	1.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	5.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	2.0	4.0	1.0	6.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Escuela Juan Azurduy de Padilla"	0.0	1.0	6.0	0.0	5.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0		0.0
"Escuela Juan Azurduy de Padilla"	0.0	4.0	3.0	1.0	3.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0		1.0	1.0	1.0
"Escuela Juan Azurduy de Padilla"	0.0	5.0	4.0	0.0	6.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	3.0	4.0	1.0	3.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	5.0	3.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	2.0	2.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	1.0	7.0	0.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0
"Escuela Juan Azurduy de Padilla"	0.0	1.0	4.0	1.0		2.0	0.0	0.0	1.0	0.0	0.0	0.0		1.0	1.0		
"Escuela Juan Azurduy de Padilla"	0.0	3.0	3.0	1.0	5.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0		1.0	0.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	4.0	2.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	
"Escuela Juan Azurduy de Padilla"	0.0	1.0	3.0	0.0	4.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	1.0	3.0	1.0	6.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0
"Escuela Juan Azurduy de Padilla"	0.0	4.0	4.0	1.0	6.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0
"Escuela Juan Azurduy de Padilla"	0.0	1.0	6.0	1.0	4.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Escuela Juan Azurduy de Padilla"	0.0	5.0	9.0	0.0	4.0	3.0	0.0	1.0	0.0		0.0	0.0	1.0	0.0	1.0		0.0
"Escuela Juan Azurduy de Padilla"	0.0	2.0	2.0	0.0		3.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	
"Escuela Juan Azurduy de Padilla"	0.0	1.0	5.0	0.0	4.0	1.0	0.0	0.0	1.0	1.0		1.0	1.0	0.0	1.0	0.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	1.0	5.0	0.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
"Escuela Juan Azurduy de Padilla"	0.0	1.0	3.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
"Escuela Juan Azurduy de Padilla"	0.0	4.0	3.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
"Escuela Juan Azurduy de Padilla"	0.0	2.0	3.0	0.0	3.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
"Escuela Juan Azurduy de Padilla"	0.0	1.0	7.0	1.0	5.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
